Year (year),Season (season),Scheme name (scheme),State (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Percentage of the number of farmers (farmer_count),Number of applications by lonees (loanee),Number of applications by non-lonees (non_loanee),Area covered by them (area_insured),Sum insured by them (sum_insured),Number of shares hold by farmer (farmer_share),Number of goi shares (goi_share),Number of state shares (state_share),Percentage of males (male),Percentage of females (female),Percentage of transgender (transgender),Percentage of SC farmers (sc),Percentage of ST farmers (st),Percentage of OBC farmers (obc),Percentage of farmers that belong to general caste (gen),Percentage of marginal farmers (marginal),Percentage of small farmers (small),Percentage of farmers that are neither small nor marginal (other),Number of Insurance Units (iu_count),Gross Premium (gross_premium)
"2018","Kharif","PMFBY","Tamil Nadu","33","Krishnagiri","577.0","1791.0","405.0","1963.0","0.98","504.4","12.21","16.93","16.93","83.07","16.72","0.21","2.41","0.08","56.55","40.96","4.98","84.21","10.81","281.0","46.07"
"2020","Kharif","PMFBY","Uttar Pradesh","9","Lalitpur","161.0","109616.0","148792.0","2324.0","189.72","62577.65","1251.55","6839.91","6839.91","91.88","7.99","0.13","8.53","1.59","44.99","44.89","25.72","57.82","16.46","413.0","14931.37"
"2022","Kharif","WBCIS","Himachal Pradesh","2","Chamba","16.0","532.0","570.0","0.0","0.07","57.96","2.9","7.24","7.24","91.58","8.42","0.0","10.88","31.93","1.4","55.79","24.91","74.74","0.35","80.0","17.38"
"2019","Kharif","PMFBY","Himachal Pradesh","2","Solan","25.0","2579.0","2722.0","0.0","1.74","522.94","10.46","5.19","5.19","94.34","5.66","0.0","8.27","6.43","15.28","70.02","39.57","56.65","3.78","12.0","20.84"
"2018","Kharif","PMFBY","Jharkhand","20","Jamtara","333.0","35331.0","5429.0","46338.0","21.55","11817.28","0.0","891.28","1127.62","86.67","13.26","0.07","5.92","16.98","62.13","14.97","1.1","98.63","0.27","124.0","2018.9"
"2020","Rabi","PMFBY","Kerala","32","Kozhikode","561.0","31.0","9.0","32.0","0.0","14.43","0.48","0.0","0.0","78.05","21.95","0.0","4.88","0.0","48.78","46.34","0.0","75.61","24.39","12.0","0.48"
"2019","Kharif","WBCIS","Telangana","36","Komaram Bheem","nan","19006.0","19906.0","193.0","18.51","16193.46","809.67","1376.44","1376.44","73.07","26.88","0.05","10.42","28.7","50.39","10.49","22.66","71.82","5.52","15.0","3562.55"
"2020","Kharif","WBCIS","Chhattisgarh","22","Koriya","nan","132.0","3.0","137.0","0.03","25.8","1.29","2.11","2.11","92.14","7.86","0.0","7.86","38.57","39.29","14.28","9.29","81.43","9.28","17.0","5.51"
"2019","Rabi","PMFBY","Haryana","6","Ambala","58.0","19513.0","24421.0","25.0","29.83","18642.42","279.64","281.54","281.54","92.39","7.56","0.05","1.06","0.02","14.27","84.65","18.9","62.3","18.8","482.0","842.72"
"2018","Kharif","PMFBY","Andhra Pradesh","28","Y.S.R","nan","55340.0","53916.0","7781.0","80.69","66631.05","3046.08","2530.25","2530.25","67.97","31.91","0.12","5.04","0.55","28.41","66.0","17.51","61.27","21.22","400.0","8106.58"
"2022","Kharif","PMFBY","Uttar Pradesh","9","Siddharthnagar","182.0","35646.0","36944.0","1432.0","24.9","18245.43","364.91","456.13","456.13","92.09","7.87","0.04","1.64","0.2","24.66","73.5","27.32","68.32","4.36","1134.0","1277.17"
"2018","Rabi","WBCIS","Madhya Pradesh","23","Barwani","393.0","35.0","26.0","12.0","0.06","42.24","2.11","0.39","0.39","97.37","2.63","0.0","0.0","21.05","57.89","21.06","10.53","42.11","47.36","5.0","2.89"
"2019","Kharif","WBCIS","Uttar Pradesh","9","Mahrajganj","nan","35.0","35.0","0.0","0.08","122.91","6.15","7.72","7.72","100.0","0.0","0.0","0.0","0.0","34.29","65.71","51.43","17.14","31.43","3.0","21.59"
"2018","Kharif","WBCIS","Uttarakhand","5","Almora","45.0","3997.0","3719.0","715.0","1.25","1012.68","50.63","16.25","16.25","97.81","2.19","0.0","15.9","7.92","0.95","75.23","7.35","90.87","1.78","15.0","83.13"
"2020","Rabi","WBCIS","Chhattisgarh","22","Dhamtari","377.0","65.0","35.0","77.0","0.04","39.7","1.99","2.96","2.96","95.54","4.46","0.0","0.89","16.07","60.71","22.33","5.36","61.61","33.03","15.0","7.91"
"2020","Kharif","PMFBY","Madhya Pradesh","23","Ujjain","435.0","197107.0","293972.0","109946.0","547.09","257128.31","5142.57","20570.34","20570.34","84.45","15.41","0.14","7.96","2.17","53.74","36.13","11.68","49.03","39.29","630.0","46283.25"
"2021","Rabi","PMFBY","Tamil Nadu","33","The Nilgiris","587.0","1545.0","1467.0","98.0","0.62","1367.76","68.39","127.61","127.96","80.45","19.55","0.0","19.55","9.46","3.64","67.35","92.59","7.35","0.06","11.0","323.96"
"2018","Kharif","PMFBY","Jammu And Kashmir","1","Reasi","627.0","6751.0","6850.0","3.0","3.85","3082.89","61.66","48.51","48.51","96.22","3.71","0.07","2.48","8.39","8.16","80.97","3.37","86.84","9.79","12.0","158.68"
"2021","Rabi","PMFBY","Odisha","21","Kendrapara","360.0","162.0","32.0","853.0","0.07","28.43","0.43","0.01","0.01","86.1","12.99","0.91","4.86","0.0","26.67","68.47","48.02","40.34","11.64","17.0","0.45"
"2018","Kharif","PMFBY","Rajasthan","8","Jhunjhunu","106.0","91159.0","185486.0","2.0","118.1","46885.59","944.78","2352.64","2352.64","87.26","12.67","0.07","7.29","1.28","72.74","18.69","24.08","58.58","17.34","303.0","5650.06"
"2021","Kharif","PMFBY","Rajasthan","8","Sikar","114.0","102970.0","576512.0","1030.0","126.58","51977.39","1039.52","2544.3","2544.3","89.25","10.68","0.07","3.58","2.08","76.98","17.36","24.79","58.85","16.36","349.0","6128.12"
"2020","Rabi","PMFBY","Madhya Pradesh","23","Sheopur","431.0","10613.0","18177.0","19.0","31.04","12984.5","194.77","251.32","251.32","94.92","4.85","0.23","8.88","1.68","75.09","14.35","10.99","45.0","44.01","214.0","697.41"
"2021","Kharif","PMFBY","Chhattisgarh","22","Mahasamund","385.0","88368.0","455070.0","41801.0","159.02","67676.29","1353.53","3163.3","3163.3","89.5","10.38","0.12","6.88","24.17","64.47","4.48","19.32","47.33","33.35","1127.0","7680.13"
"2022","Rabi","WBCIS","Maharashtra","27","Akola","467.0","1554.0","102.0","1666.0","1.76","2143.84","143.56","267.98","411.55","82.01","17.99","0.0","3.28","0.68","70.25","25.79","11.65","82.58","5.77","9.0","823.09"
"2018","Kharif","WBCIS","Maharashtra","27","Aurangabad","469.0","13245.0","4070.0","10825.0","12.34","12287.17","614.36","1836.86","1836.86","84.04","15.84","0.12","0.74","0.19","11.82","87.25","18.56","70.63","10.81","47.0","4288.08"
"2022","Rabi","WBCIS","Uttar Pradesh","9","Ghazipur","146.0","9.0","0.0","12.0","0.0","0.91","0.05","0.03","0.03","75.0","25.0","0.0","0.0","0.0","41.67","58.33","0.0","100.0","0.0","3.0","0.11"
"2020","Rabi","PMFBY","Uttar Pradesh","9","Lucknow","162.0","14545.0","14823.0","76.0","7.7","4535.06","68.3","147.37","147.37","90.48","9.5","0.02","24.93","0.9","35.63","38.54","62.17","34.92","2.91","501.0","363.04"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Moradabad","171.0","5957.0","6206.0","1413.0","2.68","1732.74","34.65","26.11","26.11","83.91","15.95","0.14","5.24","0.58","48.8","45.38","42.29","52.21","5.5","524.0","86.87"
"2021","Rabi","PMFBY","Tamil Nadu","33","Ranipet","731.0","19412.0","13448.0","47230.0","19.79","15387.61","233.56","959.1","959.68","86.54","13.45","0.01","6.98","0.06","40.14","52.82","10.1","87.13","2.77","336.0","2152.34"
"2021","Rabi","PMFBY","Madhya Pradesh","23","Chhindwara","399.0","42283.0","57230.0","212.0","63.85","21688.56","325.33","714.13","714.13","84.48","15.38","0.14","4.94","17.71","62.41","14.94","14.79","57.93","27.28","693.0","1753.59"
"2021","Rabi","PMFBY","Haryana","6","Mahendragarh","69.0","35873.0","52873.0","3938.0","41.17","22208.52","333.13","960.11","967.61","92.49","7.47","0.04","0.25","0.02","53.52","46.21","25.12","68.04","6.84","375.0","2260.85"
"2018","Kharif","WBCIS","Karnataka","29","Haveri","540.0","4683.0","540.0","4143.0","0.0","0.04","0.0","0.0","0.0","90.91","9.09","0.0","1.54","1.03","12.31","85.12","19.29","43.15","37.56","357.0","0.01"
"2018","Rabi","PMFBY","Jammu And Kashmir","1","Kathua","7.0","17592.0","18047.0","0.0","15.67","12533.43","188.0","276.99","276.99","97.89","2.05","0.06","6.11","1.5","1.81","90.58","36.04","45.79","18.17","19.0","741.98"
"2018","Kharif","PMFBY","Madhya Pradesh","23","Jhabua","412.0","40572.0","74481.0","863.0","41.74","13811.56","309.89","459.88","459.88","91.28","8.69","0.03","1.1","83.94","9.11","5.85","1.52","94.72","3.76","344.0","1229.65"
"2021","Rabi","PMFBY","Chhattisgarh","22","Balod","646.0","7389.0","2786.0","19027.0","7.49","2674.06","40.11","201.21","201.21","91.08","8.84","0.08","1.93","7.64","88.75","1.68","27.4","53.72","18.88","166.0","442.53"
"2019","Rabi","PMFBY","Uttar Pradesh","9","Kaushambi","158.0","19552.0","17099.0","5314.0","10.71","5253.14","79.2","126.4","126.4","86.28","13.69","0.03","16.33","0.5","50.92","32.25","47.7","48.71","3.59","485.0","332.0"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Mahoba","165.0","32542.0","41554.0","6453.0","50.11","20579.72","308.69","1549.74","1549.74","87.56","12.39","0.05","11.03","0.3","52.98","35.69","25.45","59.15","15.4","273.0","3408.17"
"2018","Rabi","PMFBY","Uttar Pradesh","9","Bijnor","132.0","1245.0","1253.0","3.0","1.31","660.85","9.91","1.65","1.65","91.88","7.8","0.32","4.7","0.08","28.58","66.64","52.07","26.43","21.5","505.0","13.21"
"2021","Kharif","PMFBY","Tamil Nadu","33","Perambalur","581.0","77.0","68.0","50.0","0.11","135.63","6.46","7.75","7.86","83.9","16.1","0.0","1.69","0.0","48.31","50.0","0.85","40.68","58.47","8.0","22.07"
"2022","Kharif","WBCIS","Maharashtra","27","Amravati","468.0","2570.0","1965.0","1042.0","2.94","2355.27","117.76","93.69","93.69","84.24","15.76","0.0","2.03","0.67","83.11","14.19","13.14","72.93","13.93","54.0","305.14"
"2018","Rabi","PMFBY","Tamil Nadu","33","Madurai","578.0","18824.0","3947.0","28626.0","24.32","13645.56","250.45","1039.78","1039.78","74.12","25.82","0.06","7.84","0.09","52.99","39.08","18.01","75.96","6.03","477.0","2330.01"
"2021","Rabi","PMFBY","Madhya Pradesh","23","Dindori","404.0","1481.0","1882.0","56.0","2.98","691.09","10.37","42.85","42.85","85.55","14.29","0.16","4.23","37.72","48.3","9.75","10.94","60.94","28.12","170.0","96.07"
"2018","Rabi","PMFBY","Tripura","16","Gomati","654.0","250.0","12.0","248.0","0.06","37.37","0.64","0.44","0.44","84.23","15.77","0.0","26.15","21.15","19.62","33.08","3.46","96.54","0.0","6.0","1.52"
"2022","Rabi","PMFBY","Haryana","6","Mahendragarh","69.0","35251.0","53308.0","1900.0","38.07","21641.26","324.62","927.14","932.87","92.15","7.81","0.04","0.27","0.02","49.38","50.33","28.18","65.91","5.91","373.0","2184.63"
"2019","Kharif","PMFBY","Kerala","32","Kasaragod","558.0","44.0","44.0","0.0","0.01","17.8","0.44","0.0","0.0","63.64","36.36","0.0","0.0","0.0","22.73","77.27","59.09","27.27","13.64","10.0","0.44"
"2020","Rabi","WBCIS","Uttarakhand","5","Almora","45.0","1099.0","24.0","1929.0","14.06","151.16","7.56","18.71","18.71","93.65","6.35","0.0","6.61","1.23","2.3","89.86","11.47","87.1","1.43","15.0","44.98"
"2022","Kharif","PMFBY","Haryana","6","Sirsa","74.0","89333.0","109232.0","27355.0","174.39","157021.89","6938.21","10283.38","10283.38","85.8","14.17","0.03","1.14","0.05","8.43","90.38","16.74","53.42","29.84","336.0","27504.97"
"2020","Rabi","PMFBY","Uttar Pradesh","9","Mainpuri","166.0","5939.0","6693.0","1171.0","3.44","3144.48","78.88","63.25","63.25","88.62","11.34","0.04","5.21","0.18","58.55","36.06","42.33","52.11","5.56","495.0","205.38"
"2022","Kharif","PMFBY","Kerala","32","Palakkad","563.0","156.0","158.0","26.0","0.05","124.96","4.31","0.0","0.0","83.15","16.85","0.0","1.09","0.0","73.37","25.54","23.91","69.57","6.52","31.0","4.31"
"2018","Rabi","PMFBY","Tamil Nadu","33","Sivaganga","585.0","58802.0","10503.0","84428.0","58.07","34144.87","583.78","2399.35","2399.35","62.6","37.34","0.06","8.4","0.17","26.54","64.89","23.45","66.93","9.62","521.0","5382.48"
"2018","Rabi","WBCIS","Himachal Pradesh","2","Una","26.0","6.0","3.0","3.0","0.29","1.81","0.09","0.0","0.0","100.0","0.0","0.0","33.33","0.0","16.67","50.0","33.33","66.67","0.0","5.0","0.09"
"2019","Kharif","PMFBY","Telangana","36","Nizamabad","516.0","41335.0","45055.0","160.0","43.6","40113.05","1047.35","679.27","679.27","63.05","36.89","0.06","9.26","7.94","50.23","32.57","29.21","62.78","8.01","452.0","2405.89"
"2020","Rabi","WBCIS","Karnataka","29","Shivamogga","547.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","0.0","0.0"
"2018","Rabi","WBCIS","Kerala","32","Kannur","557.0","23.0","19.0","5.0","0.01","8.88","0.44","0.4","0.4","70.83","29.17","0.0","0.0","0.0","50.0","50.0","50.0","33.33","16.67","12.0","1.24"
"2018","Kharif","PMFBY","Tamil Nadu","33","Thiruvarur","590.0","4141.0","4419.0","214.0","8.11","5903.73","118.09","67.99","67.99","72.42","27.5","0.08","3.52","0.06","49.36","47.06","10.6","64.58","24.82","398.0","254.07"
"2020","Rabi","WBCIS","Maharashtra","27","Solapur","496.0","5042.0","4072.0","3269.0","5.62","11469.12","573.46","670.06","670.11","84.88","15.05","0.07","4.02","0.37","23.8","71.81","18.42","58.17","23.41","89.0","1913.63"
"2022","Rabi","WBCIS","Uttar Pradesh","9","Budaun","133.0","1.0","0.0","1.0","0.0","0.01","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","0.0","1.0","0.0"
"2022","Rabi","PMFBY","Madhya Pradesh","23","East Nimar","405.0","67372.0","132743.0","49.0","111.67","46576.59","698.65","234.9","234.9","85.23","14.69","0.08","3.74","14.4","54.47","27.39","12.94","62.6","24.46","406.0","1168.45"
"2021","Rabi","PMFBY","Puducherry","34","Puducherry","nan","6015.0","99.0","17351.0","6.26","4217.2","0.08","71.43","139.18","72.78","27.2","0.02","4.65","0.13","60.94","34.28","3.12","94.04","2.84","73.0","210.69"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Kasganj","633.0","3490.0","5087.0","43.0","2.49","1978.88","40.06","30.37","30.37","91.13","8.85","0.02","4.44","0.47","48.05","47.04","40.62","44.85","14.53","351.0","100.8"
"2021","Kharif","WBCIS","Chhattisgarh","22","Sukma","642.0","98.0","0.0","177.0","0.08","99.18","4.96","8.84","8.84","89.83","10.17","0.0","3.39","63.84","3.39","29.38","3.39","92.09","4.52","5.0","22.64"
"2019","Rabi","PMFBY","Haryana","6","Bhiwani","59.0","57680.0","85590.0","6058.0","113.08","58223.07","873.34","1572.57","1572.57","92.16","7.8","0.04","1.09","0.06","4.92","93.93","17.6","56.83","25.57","278.0","4018.48"
"2019","Rabi","PMFBY","Madhya Pradesh","23","Alirajpur","639.0","4642.0","4533.0","822.0","4.15","1084.1","16.26","19.36","19.36","93.91","6.05","0.04","0.34","92.72","2.05","4.89","11.43","78.41","10.16","105.0","54.98"
"2022","Kharif","PMFBY","Uttar Pradesh","9","Jaunpur","152.0","16790.0","16862.0","1484.0","7.98","5030.91","100.62","64.49","64.49","88.82","11.14","0.04","9.08","0.64","51.26","39.02","60.53","36.29","3.18","1377.0","229.6"
"2018","Rabi","PMFBY","Uttar Pradesh","9","Bulandshahr","134.0","68083.0","68368.0","213.0","35.01","22652.72","340.31","111.73","111.73","98.19","1.8","0.01","0.62","0.09","4.78","94.51","6.12","92.32","1.56","918.0","563.77"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Kanpur Nagar","157.0","30630.0","31933.0","267.0","20.25","13034.33","260.68","264.55","264.55","92.31","7.66","0.03","5.85","0.39","32.27","61.49","42.74","54.73","2.53","389.0","789.78"
"2020","Rabi","WBCIS","Karnataka","29","Ramanagara","631.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","0.0","0.0"
"2018","Rabi","WBCIS","Telangana","36","Mancherial","684.0","28.0","10.0","22.0","9.65","54.11","2.71","0.0","0.0","62.5","37.5","0.0","9.38","15.63","43.75","31.24","46.88","25.0","28.12","11.0","2.71"
"2018","Kharif","WBCIS","Madhya Pradesh","23","Jhabua","412.0","13598.0","20252.0","156.0","3.36","2177.12","108.86","41.94","41.94","89.8","10.15","0.05","0.52","75.5","15.34","8.64","2.99","92.76","4.25","7.0","192.74"
"2021","Kharif","PMFBY","Rajasthan","8","Dungarpur","99.0","49241.0","383719.0","8277.0","35.0","10849.19","216.96","687.29","687.29","91.88","8.08","0.04","2.11","36.0","36.57","25.32","34.14","59.14","6.72","262.0","1591.54"
"2020","Kharif","PMFBY","Maharashtra","27","Jalna","479.0","238441.0","15656.0","783744.0","294.79","98948.41","2304.21","13568.5","16126.3","77.45","22.53","0.02","3.48","0.8","17.26","78.46","4.7","92.63","2.67","55.0","31999.01"
"2022","Rabi","PMFBY","Himachal Pradesh","2","Kullu","20.0","11.0","9.0","5.0","0.0","0.88","0.01","0.05","0.05","100.0","0.0","0.0","0.0","0.0","0.0","100.0","57.14","21.43","21.43","5.0","0.12"
"2018","Rabi","PMFBY","Tripura","16","Dhalai","269.0","169.0","14.0","156.0","0.04","27.55","0.67","0.22","0.22","92.94","7.06","0.0","26.47","40.0","23.53","10.0","86.47","11.18","2.35","7.0","1.11"
"2018","Kharif","WBCIS","Madhya Pradesh","23","Anuppur","390.0","39.0","0.0","55.0","0.01","4.91","0.25","0.73","0.73","90.91","9.09","0.0","30.91","16.36","12.73","40.0","0.0","100.0","0.0","8.0","1.7"
"2019","Rabi","WBCIS","Kerala","32","Kasaragod","558.0","71.0","75.0","0.0","0.01","9.88","0.38","0.52","0.52","76.0","24.0","0.0","0.0","0.0","37.33","62.67","74.67","24.0","1.33","16.0","1.42"
"2018","Kharif","PMFBY","Maharashtra","27","Pune","490.0","14486.0","7519.0","11599.0","16.85","5219.99","107.76","226.45","226.45","86.48","13.49","0.03","0.68","6.49","10.31","82.52","10.57","82.85","6.58","93.0","560.66"
"2018","Kharif","WBCIS","Chhattisgarh","22","Bastar","374.0","182.0","71.0","148.0","0.23","169.22","8.46","19.02","19.02","93.15","6.85","0.0","3.65","49.32","21.92","25.11","1.37","66.67","31.96","12.0","46.5"
"2018","Rabi","WBCIS","Karnataka","29","Udupi","549.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","0.0","0.0"
"2018","Rabi","WBCIS","Karnataka","29","Davangere","535.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","0.0","0.0"
"2021","Kharif","PMFBY","Madhya Pradesh","23","Balaghat","392.0","46617.0","55076.0","16.0","61.11","24760.31","495.21","668.91","668.91","79.72","20.25","0.03","3.54","8.83","84.63","3.0","16.67","78.53","4.8","684.0","1833.03"
"2022","Rabi","PMFBY","Uttar Pradesh","9","Sambhal","659.0","3231.0","3741.0","24.0","2.01","1413.34","24.22","21.92","21.92","90.09","9.85","0.06","2.58","0.03","51.24","46.15","35.8","54.85","9.35","405.0","68.06"
"2021","Kharif","PMFBY","Rajasthan","8","Baran","89.0","66684.0","266198.0","3385.0","127.53","50414.55","1008.28","3480.06","3518.89","86.45","13.47","0.08","7.71","24.68","53.63","13.98","24.45","49.72","25.83","246.0","8007.23"
"2018","Rabi","PMFBY","Tamil Nadu","33","Virudhunagar","597.0","42898.0","13428.0","128517.0","67.12","33442.18","701.09","2474.79","2474.79","74.2","25.74","0.06","11.93","0.06","54.52","33.49","10.36","82.89","6.75","587.0","5650.67"
"2018","Kharif","PMFBY","Tamil Nadu","33","Kancheepuram","nan","3744.0","3332.0","1052.0","3.7","2421.2","48.42","40.04","40.04","84.97","14.85","0.18","5.52","0.05","24.93","69.5","8.49","80.45","11.06","454.0","128.5"
"2018","Kharif","PMFBY","Odisha","21","Balangir","345.0","107343.0","70472.0","81548.0","151.4","87358.44","1753.02","6786.5","6786.5","85.25","14.72","0.03","11.42","14.6","64.2","9.78","10.45","83.15","6.4","336.0","15326.02"
"2020","Rabi","PMFBY","Haryana","6","Gurgaon","nan","8454.0","10030.0","311.0","9.5","5834.07","87.51","145.09","145.09","94.02","5.92","0.06","0.49","0.04","45.39","54.08","32.58","55.31","12.11","239.0","377.69"
"2022","Rabi","PMFBY","Himachal Pradesh","2","Solan","25.0","1280.0","1296.0","2.0","0.4","121.2","1.82","6.97","6.97","96.15","3.85","0.0","1.77","0.08","6.39","91.76","64.18","32.82","3.0","11.0","15.76"
"2020","Kharif","PMFBY","Uttar Pradesh","9","Fatehpur","142.0","56111.0","57977.0","135.0","42.64","29514.73","590.29","620.14","620.14","91.57","8.38","0.05","4.11","0.38","34.71","60.8","34.54","61.08","4.38","751.0","1830.57"
"2019","Kharif","PMFBY","Rajasthan","8","Jhalawar","105.0","78159.0","130960.0","216.0","137.53","57177.99","1143.56","3492.28","3492.28","86.22","13.7","0.08","7.47","8.92","69.71","13.9","26.22","55.76","18.02","336.0","8128.12"
"2018","Rabi","PMFBY","Uttar Pradesh","9","Basti","131.0","45564.0","45593.0","1205.0","36.49","16745.4","251.18","207.64","207.64","92.94","7.05","0.01","3.16","0.75","11.42","84.67","10.25","77.82","11.93","1210.0","666.46"
"2022","Rabi","PMFBY","Rajasthan","8","Sirohi","115.0","25955.0","53017.0","36.0","21.32","11615.04","204.45","201.06","201.06","89.7","10.25","0.05","14.4","9.04","35.69","40.87","18.69","58.53","22.78","161.0","606.57"
"2019","Rabi","WBCIS","Maharashtra","27","Solapur","496.0","13921.0","7990.0","10732.0","15.79","28856.01","1442.8","2458.88","2458.88","88.59","11.39","0.02","3.1","0.36","25.28","71.26","14.62","66.7","18.68","91.0","6360.56"
"2021","Kharif","WBCIS","Maharashtra","27","Wardha","498.0","97.0","105.0","3.0","0.08","66.39","3.32","1.85","1.85","81.48","17.59","0.93","1.85","0.0","91.67","6.48","28.7","49.07","22.23","7.0","7.02"
"2022","Rabi","PMFBY","Tripura","16","Gomati","654.0","20233.0","2409.0","25319.0","5.82","4016.13","3.71","54.21","62.55","77.85","22.13","0.02","10.07","30.97","6.2","52.76","23.52","75.42","1.06","10.0","120.47"
"2021","Rabi","WBCIS","Maharashtra","27","Buldana","nan","190.0","21.0","196.0","0.21","259.74","17.57","30.04","37.02","79.26","20.74","0.0","2.3","4.15","61.75","31.8","4.61","82.95","12.44","23.0","84.63"
"2021","Rabi","PMFBY","Tamil Nadu","33","Chengalpattu","730.0","9157.0","5982.0","21396.0","8.9","6959.69","107.17","300.64","300.64","85.62","14.3","0.08","6.41","0.04","47.45","46.1","5.21","91.16","3.63","516.0","708.45"
"2019","Kharif","WBCIS","Maharashtra","27","Solapur","496.0","34437.0","18827.0","22609.0","36.47","43903.22","2195.16","1540.59","1540.59","87.37","12.58","0.05","2.42","0.48","28.47","68.63","11.83","71.31","16.86","87.0","5276.34"
"2021","Kharif","PMFBY","Odisha","21","Jajapur","356.0","63152.0","433229.0","100873.0","41.16","28607.22","572.12","2402.98","2402.98","90.92","9.04","0.04","11.21","0.95","44.42","43.42","16.11","83.18","0.71","309.0","5378.08"
"2019","Rabi","WBCIS","Rajasthan","8","Bhilwara","92.0","26.0","43.0","0.0","0.02","10.76","0.54","0.85","0.85","86.05","13.95","0.0","4.65","2.33","86.05","6.97","9.3","81.4","9.3","10.0","2.24"
"2022","Rabi","PMFBY","Chhattisgarh","22","Balrampur","649.0","890.0","2050.0","349.0","0.93","280.45","4.21","10.43","10.43","95.25","4.0","0.75","13.96","44.77","17.76","23.51","12.88","41.98","45.14","189.0","25.07"
"2020","Rabi","PMFBY","Rajasthan","8","Barmer","90.0","57932.0","131739.0","763.0","115.31","60859.22","2877.63","3045.72","3045.72","89.01","10.52","0.47","9.89","2.51","69.01","18.59","14.34","33.69","51.97","317.0","8969.07"
"2021","Rabi","PMFBY","Assam","18","West Karbi Anglong","710.0","1755.0","41.0","1735.0","1.21","1184.8","0.02","14.43","51.05","70.89","29.05","0.06","0.56","3.66","4.22","91.56","21.11","78.77","0.12","4.0","65.5"
"2020","Rabi","WBCIS","Himachal Pradesh","2","Shimla","23.0","17640.0","18679.0","112.0","1460.38","11681.12","584.06","554.86","554.86","89.19","10.79","0.02","9.08","0.44","0.51","89.97","45.55","48.52","5.93","380.0","1693.78"
"2021","Kharif","PMFBY","Chhattisgarh","22","Dakshin Bastar Dantewada","nan","8277.0","5645.0","11363.0","16.65","5329.41","106.59","421.82","421.82","88.37","11.62","0.01","1.83","78.39","15.42","4.36","29.41","53.08","17.51","204.0","950.23"
"2019","Kharif","PMFBY","Karnataka","29","Chitradurga","533.0","83554.0","17657.0","65897.0","0.1","0.43","0.01","0.05","0.05","73.74","26.26","0.0","7.14","11.22","20.41","61.23","16.16","57.58","26.26","536.0","0.1"
"2019","Rabi","WBCIS","Maharashtra","27","Nanded","485.0","4898.0","1486.0","3940.0","3.91","5072.18","253.61","1251.81","1251.81","83.74","16.26","0.0","2.43","2.06","19.98","75.53","12.37","79.93","7.7","20.0","2757.23"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Azamgarh","123.0","12363.0","12427.0","1025.0","7.38","4593.08","91.86","100.36","100.36","91.26","8.62","0.12","6.93","0.54","44.92","47.61","49.52","48.24","2.24","1518.0","292.58"
"2019","Kharif","WBCIS","Madhya Pradesh","23","Agar Malwa","667.0","986.0","1052.0","0.0","1.98","1214.58","60.73","45.55","45.55","98.76","1.24","0.0","2.66","1.24","63.5","32.6","1.9","2.57","95.53","16.0","151.83"
"2022","Rabi","PMFBY","Uttar Pradesh","9","Mainpuri","166.0","4116.0","4639.0","1467.0","2.47","2285.81","58.55","45.51","45.51","87.34","12.66","0.0","3.14","1.21","60.38","35.27","31.26","59.02","9.72","454.0","149.57"
"2020","Rabi","PMFBY","Uttar Pradesh","9","Sant Kabir Nagar","nan","26318.0","27412.0","50.0","17.06","10527.27","157.91","131.59","131.59","91.85","8.15","0.0","0.32","0.01","6.85","92.82","7.27","89.01","3.72","780.0","421.09"
"2021","Kharif","PMFBY","Madhya Pradesh","23","Tikamgarh","434.0","16387.0","25737.0","26.0","30.59","8256.58","165.13","703.37","703.37","89.98","9.99","0.03","10.98","1.46","65.67","21.89","16.68","60.85","22.47","72.0","1571.87"
"2018","Rabi","PMFBY","Madhya Pradesh","23","Vidisha","437.0","143057.0","274286.0","535.0","475.34","164711.64","2470.67","5616.24","5616.24","89.0","10.76","0.24","6.49","1.7","46.35","45.46","24.64","40.63","34.73","588.0","13703.15"
"2018","Kharif","PMFBY","Assam","18","Udalguri","617.0","180.0","181.0","0.0","0.21","128.39","2.57","1.01","1.01","96.13","3.87","0.0","0.0","46.41","16.57","37.02","37.57","61.33","1.1","2.0","4.59"
"2021","Kharif","PMFBY","Tamil Nadu","33","Dharmapuri","571.0","642.0","31.0","1200.0","0.34","198.74","7.85","20.23","20.28","83.75","16.25","0.0","1.3","0.16","75.63","22.91","1.38","95.69","2.93","23.0","48.36"
"2020","Rabi","PMFBY","Tripura","16","Gomati","654.0","13142.0","429.0","13814.0","2.17","1501.02","1.81","33.59","24.72","77.4","22.58","0.02","10.65","16.35","10.24","62.76","39.17","60.5","0.33","10.0","60.12"
