Year (year),Season (season),Scheme name (scheme),State (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Percentage of the number of farmers (farmer_count),Number of applications by lonees (loanee),Number of applications by non-lonees (non_loanee),Area covered by them (area_insured),Sum insured by them (sum_insured),Number of shares hold by farmer (farmer_share),Number of goi shares (goi_share),Number of state shares (state_share),Percentage of males (male),Percentage of females (female),Percentage of transgender (transgender),Percentage of SC farmers (sc),Percentage of ST farmers (st),Percentage of OBC farmers (obc),Percentage of farmers that belong to general caste (gen),Percentage of marginal farmers (marginal),Percentage of small farmers (small),Percentage of farmers that are neither small nor marginal (other),Number of Insurance Units (iu_count),Gross Premium (gross_premium)
"2020","Rabi","PMFBY","Chhattisgarh","22","Koriya","nan","1518.0","1643.0","114.0","1.94","430.99","6.46","18.34","18.34","88.16","11.78","0.06","6.26","45.53","35.46","12.75","12.52","52.53","34.95","143.0","43.14"
"2021","Kharif","PMFBY","Rajasthan","8","Jhunjhunu","106.0","112502.0","639271.0","595.0","134.42","48425.93","1006.02","3248.43","3248.43","88.46","11.46","0.08","6.5","1.29","73.99","18.22","25.98","55.21","18.81","305.0","7502.88"
"2019","Rabi","PMFBY","Himachal Pradesh","2","Chamba","16.0","4315.0","4244.0","203.0","1.07","320.5","4.8","8.77","8.77","93.84","6.16","0.0","10.59","23.34","2.16","63.91","27.39","67.46","5.15","12.0","22.34"
"2021","Kharif","PMFBY","Assam","18","Morigaon","nan","46389.0","3532.0","43795.0","33.22","19733.29","12.48","381.84","424.61","76.01","23.97","0.02","4.27","3.54","5.32","86.87","25.97","73.88","0.15","5.0","818.93"
"2018","Kharif","PMFBY","Maharashtra","27","Nashik","487.0","17428.0","11443.0","18328.0","20.73","7450.1","253.05","340.72","340.72","83.13","16.85","0.02","1.64","10.58","25.82","61.96","9.31","77.52","13.17","102.0","934.49"
"2020","Rabi","PMFBY","Odisha","21","Baleshwar","346.0","1030.0","8677.0","71.0","0.59","378.72","5.7","1.88","1.88","93.24","6.76","0.0","3.44","0.01","82.09","14.46","35.8","62.49","1.71","69.0","9.46"
"2022","Rabi","PMFBY","Haryana","6","Sirsa","74.0","84102.0","101268.0","10074.0","167.65","114892.25","1723.38","2245.8","2245.8","85.36","14.62","0.02","0.76","0.07","7.28","91.89","18.42","54.17","27.41","334.0","6214.98"
"2019","Rabi","PMFBY","Tamil Nadu","33","Kancheepuram","nan","20156.0","24706.0","11910.0","19.03","13655.01","224.11","736.02","736.02","82.78","17.19","0.03","6.48","0.05","22.66","70.81","5.06","84.06","10.88","904.0","1696.15"
"2019","Rabi","PMFBY","Uttar Pradesh","9","Sant Kabir Nagar","nan","19557.0","21402.0","11.0","18.76","9286.88","139.3","23.22","23.22","92.55","7.4","0.05","0.56","0.02","12.23","87.19","13.68","79.46","6.86","773.0","185.74"
"2021","Rabi","PMFBY","Rajasthan","8","Pali","111.0","74292.0","190020.0","1357.0","103.81","56509.56","1041.15","3384.77","3384.77","88.65","11.24","0.11","9.09","3.63","61.85","25.43","21.38","42.69","35.93","388.0","7810.69"
"2021","Rabi","PMFBY","Odisha","21","Dhenkanal","352.0","15.0","38.0","24.0","0.03","21.77","0.44","0.11","0.11","88.71","11.29","0.0","9.68","0.0","45.16","45.16","1.61","50.0","48.39","11.0","0.66"
"2022","Rabi","PMFBY","Himachal Pradesh","2","Kangra","18.0","32041.0","32956.0","44.0","11.89","3567.3","53.51","124.86","124.86","92.53","7.44","0.03","4.93","1.79","13.91","79.37","25.07","68.93","6.0","34.0","303.23"
"2022","Kharif","WBCIS","Kerala","32","Kottayam","560.0","17.0","9.0","19.0","0.01","5.66","0.28","0.65","0.65","85.71","14.29","0.0","0.0","0.0","35.71","64.29","14.29","60.71","25.0","14.0","1.59"
"2019","Rabi","WBCIS","Madhya Pradesh","23","Shahdol","429.0","4.0","4.0","0.0","0.0","1.9","0.1","0.05","0.05","100.0","0.0","0.0","0.0","25.0","75.0","0.0","0.0","25.0","75.0","4.0","0.19"
"2022","Kharif","WBCIS","Uttarakhand","5","Champawat","48.0","5438.0","5567.0","88.0","4.15","3786.92","189.35","194.69","194.69","96.76","3.22","0.02","14.77","0.76","3.18","81.29","5.31","93.86","0.83","7.0","578.73"
"2022","Rabi","WBCIS","Maharashtra","27","Osmanabad","488.0","572.0","25.0","599.0","0.49","736.66","37.11","73.26","74.91","80.45","19.55","0.0","1.92","0.64","13.94","83.5","12.18","77.56","10.26","40.0","185.28"
"2019","Rabi","WBCIS","Madhya Pradesh","23","Betul","394.0","177.0","152.0","63.0","0.13","64.54","3.23","1.73","1.73","87.91","12.09","0.0","1.86","26.98","62.33","8.83","3.72","47.44","48.84","26.0","6.69"
"2019","Rabi","PMFBY","Uttar Pradesh","9","Shamli","660.0","2343.0","2411.0","46.0","1.24","859.97","12.9","7.74","7.74","90.23","9.73","0.04","0.77","5.25","58.57","35.41","66.91","24.7","8.39","198.0","28.38"
"2020","Kharif","PMFBY","Rajasthan","8","Pali","111.0","82954.0","188224.0","6111.0","173.71","41774.66","896.66","4329.87","4398.58","88.27","11.55","0.18","10.86","3.28","62.83","23.03","21.46","42.3","36.24","387.0","9625.11"
"2019","Kharif","PMFBY","Karnataka","29","Hasan","nan","18177.0","1381.0","16796.0","0.01","0.03","0.0","0.0","0.0","77.78","22.22","0.0","4.08","1.02","16.33","78.57","32.65","53.06","14.29","611.0","0.01"
"2022","Rabi","PMFBY","Madhya Pradesh","23","Ashoknagar","391.0","26161.0","128442.0","53.0","83.31","29898.8","448.48","158.41","158.41","94.88","4.95","0.17","7.47","1.23","54.49","36.81","11.78","40.21","48.01","333.0","765.3"
"2019","Kharif","PMFBY","Kerala","32","Kannur","557.0","90.0","90.0","1.0","0.01","25.43","0.51","0.0","0.0","73.63","26.37","0.0","0.0","0.0","14.29","85.71","18.68","81.32","0.0","12.0","0.51"
"2022","Rabi","PMFBY","Rajasthan","8","Ajmer","86.0","86441.0","602979.0","5784.0","115.68","66786.44","1062.93","4582.89","4582.89","85.86","14.02","0.12","8.16","3.72","76.33","11.79","13.36","65.28","21.36","378.0","10228.71"
"2018","Kharif","WBCIS","Rajasthan","8","Jalor","nan","5214.0","5617.0","0.0","7.42","3265.63","163.28","244.92","244.92","91.83","7.96","0.21","10.68","3.54","47.27","38.51","7.07","11.2","81.73","1.0","653.12"
"2022","Kharif","PMFBY","Madhya Pradesh","23","Jabalpur","411.0","11923.0","33475.0","92.0","20.16","6810.1","136.2","399.52","399.52","90.3","9.58","0.12","2.2","6.92","70.41","20.47","23.11","53.77","23.12","467.0","935.24"
"2021","Kharif","WBCIS","Maharashtra","27","Nashik","487.0","3720.0","2781.0","2223.0","3.92","5116.45","263.83","32.32","43.0","81.24","18.76","0.0","0.5","0.12","30.9","68.48","14.57","71.6","13.83","56.0","339.15"
"2020","Kharif","WBCIS","Himachal Pradesh","2","Bilaspur","15.0","46.0","46.0","0.0","0.01","7.53","0.38","0.94","0.94","89.13","8.7","2.17","13.04","0.0","0.0","86.96","28.26","69.57","2.17","24.0","2.26"
"2021","Rabi","PMFBY","Assam","18","Barpeta","280.0","55098.0","67.0","54868.0","38.54","26788.51","0.57","224.22","426.17","63.34","36.66","0.0","0.7","0.48","2.49","96.33","92.77","6.99","0.24","126.0","650.96"
"2019","Kharif","WBCIS","Chhattisgarh","22","Koriya","nan","146.0","0.0","164.0","0.03","31.65","1.58","2.67","2.67","90.24","9.76","0.0","1.83","54.27","33.54","10.36","0.61","96.95","2.44","8.0","6.92"
